qid,name,category,country,iso,lat,lon,year,century,wikipedia,image,sitelinks,pageviews,fame_rank
Q2946,Palace of Versailles,palace,France,FR,48.80472,2.12028,1661,17th century,https://en.wikipedia.org/wiki/Palace_of_Versailles,https://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg?width=1280,108,756430,1
Q80290,Forbidden City,palace,People's Republic of China,CN,39.91583,116.39083,1420,15th century,https://en.wikipedia.org/wiki/Forbidden_City,https://commons.wikimedia.org/wiki/Special:FilePath/Hall%20of%20Supreme%20Harmony%20%2820241127120000%29.jpg?width=1280,104,666289,2
Q1143049,Château de Montsoreau,castle,France,FR,47.2156,0.0622,990,10th century,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Montsoreau,https://commons.wikimedia.org/wiki/Special:FilePath/Chateau%20de%20Montsoreau%20Museum%20of%20contemporary%20art%20Loire%20Valley%20France.jpg?width=1280,100,11059,375
Q133274,Kremlin,palace,Russia,RU,55.75167,37.61778,1420,15th century,https://en.wikipedia.org/wiki/Kremlin,https://commons.wikimedia.org/wiki/Special:FilePath/Moscow%2005-2012%20Kremlin%2022.jpg?width=1280,95,375196,8
Q47476,Alhambra,palace,Spain,ES,37.17634,-3.58821,1239,13th century,https://en.wikipedia.org/wiki/Alhambra,https://commons.wikimedia.org/wiki/Special:FilePath/Alhambra%20detail.jpg?width=1280,95,576475,5
Q42182,Buckingham Palace,palace,England,GB-ENG,51.501,-0.142,1703,18th century,https://en.wikipedia.org/wiki/Buckingham_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Buckingham%20Palace%2C%20London%20-%20April%202009.jpg?width=1280,93,732313,4
Q4152,Neuschwanstein Castle,castle,Germany,DE,47.55749,10.74944,1869,19th century,https://en.wikipedia.org/wiki/Neuschwanstein_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Schloss%20Neuschwanstein%202013.jpg?width=1280,91,876367,3
Q62378,Tower of London,castle,England,GB-ENG,51.5082,-0.0762,1066,11th century,https://en.wikipedia.org/wiki/Tower_of_London,https://commons.wikimedia.org/wiki/Special:FilePath/Tower%20of%20London%20viewed%20from%20the%20River%20Thames.jpg?width=1280,88,665273,6
Q1865480,Bastille,castle,France,FR,48.85333,2.36917,1370,14th century,https://en.wikipedia.org/wiki/Bastille,https://commons.wikimedia.org/wiki/Special:FilePath/Bastille%20Exterior%201790%20or%201791.jpg?width=1280,86,206632,16
Q42646,Windsor Castle,castle,England,GB-ENG,51.48389,-0.60444,1070,11th century,https://en.wikipedia.org/wiki/Windsor_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Windsor%20Castle%20at%20Sunset%20-%20Nov%202006.jpg?width=1280,85,675390,7
Q179046,Fatehpur Sikri,fortress,India,IN,27.09111,77.66111,,,https://en.wikipedia.org/wiki/Fatehpur_Sikri,https://commons.wikimedia.org/wiki/Special:FilePath/Fatehpur%20Sikri-%20Hamamm.jpg?width=1280,82,168372,24
Q71229,Potala Palace,palace,Tibet,CN,29.65778,91.11694,637,7th century,https://en.wikipedia.org/wiki/Potala_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Potala.jpg?width=1280,82,219275,14
Q28471,Royal Monastery of San Lorenzo de El Escorial,palace,Spain,ES,40.58917,-4.14778,1563,16th century,https://en.wikipedia.org/wiki/El_Escorial,https://commons.wikimedia.org/wiki/Special:FilePath/Monasterio%20de%20El%20Escorial%20en%20Madrid.jpg?width=1280,81,174712,22
Q170495,Topkapı Palace,palace,Turkey,TR,41.013,28.984,1460,15th century,https://en.wikipedia.org/wiki/Topkap%C4%B1_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Topkapi%20Palace%20Seen%20From%20Harem.JPG?width=1280,78,258501,10
Q171857,Agra Fort,fortress,India,IN,27.17958,78.0213,1565,16th century,https://en.wikipedia.org/wiki/Agra_Fort,https://commons.wikimedia.org/wiki/Special:FilePath/Agra%2003-2016%2016%20Agra%20Fort.jpg?width=1280,77,169474,23
Q177549,Krak des Chevaliers,castle,Syria,SY,34.75694,36.29472,1031,11th century,https://en.wikipedia.org/wiki/Krak_des_Chevaliers,https://commons.wikimedia.org/wiki/Special:FilePath/Krak%20des%20Chevaliers%2001.jpg?width=1280,76,133601,35
Q45957,Red Fort,fortress,India,IN,28.65583,77.24028,,,https://en.wikipedia.org/wiki/Red_Fort,https://commons.wikimedia.org/wiki/Special:FilePath/Red%20Fort%2C%20Delhi%20by%20alexfurr.jpg?width=1280,75,388558,9
Q182147,Winter Palace,palace,Russia,RU,59.94028,30.31389,1754,18th century,https://en.wikipedia.org/wiki/Winter_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Winter%20Palace%20Panorama%203.jpg?width=1280,75,267162,13
Q188754,Himeji Castle,castle,Japan,JP,34.83944,134.69361,1346,14th century,https://en.wikipedia.org/wiki/Himeji_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Himeji%20castle%20in%20may%202015.jpg?width=1280,73,275178,11
Q186312,Masada,fortress,Israel,IL,31.31556,35.35389,,,https://en.wikipedia.org/wiki/Masada,https://commons.wikimedia.org/wiki/Special:FilePath/Israel-2013-Aerial%2021-Masada.jpg?width=1280,70,219200,18
Q188190,Élysée Palace,palace,France,FR,48.87028,2.31639,1722,18th century,https://en.wikipedia.org/wiki/%C3%89lys%C3%A9e_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Secretary%20Pompeo%20Arrives%20to%20Meet%20with%20French%20Foreign%20Minister%20Le%20Drian%20in%20Paris%20%2850610423656%29%20%28cropped%29.jpg?width=1280,66,179253,25
